0.147649,-0.087080,-0.276334,1.212158,0.042945,-0.849737
0.148956,-0.088769,-0.274577,1.216305,0.043380,-0.853960
0.150274,-0.092705,-0.268640,1.218486,0.043772,-0.858139
0.151587,-0.090671,-0.273783,1.225848,0.044255,-0.862400
0.152955,-0.087353,-0.281347,1.234323,0.044338,-0.866547
0.154287,-0.088716,-0.280152,1.238713,0.044783,-0.870785
0.155584,-0.089699,-0.279590,1.243366,0.045574,-0.875149
0.156930,-0.097059,-0.267228,1.242527,0.046010,-0.879323
0.158287,-0.095003,-0.272369,1.249868,0.046411,-0.883573
0.159641,-0.099779,-0.264774,1.251212,0.046890,-0.887769
0.161006,-0.094548,-0.275782,1.261288,0.047334,-0.892082
0.162378,-0.094353,-0.277419,1.266956,0.047775,-0.896321
0.163757,-0.095016,-0.277450,1.271872,0.048216,-0.900557
0.168776,-0.095398,-0.278313,1.277839,0.019073,-0.904450
0.166535,-0.094452,-0.280989,1.283293,0.049098,-0.909028
0.168208,-0.094066,-0.283205,1.289464,0.047314,-0.912807
0.169396,-0.095703,-0.281038,1.293067,0.049532,-0.917664
0.170754,-0.094776,-0.284044,1.299330,0.050419,-0.921725
0.172174,-0.099887,-0.275745,1.300361,0.050858,-0.925955
0.173724,-0.101801,-0.273531,1.304260,0.050339,-0.929872
0.175035,-0.098142,-0.281347,1.312664,0.051737,-0.934426
0.176471,-0.092939,-0.292112,1.322414,0.052211,-0.938738
0.177921,-0.097399,-0.284982,1.324004,0.052635,-0.943012
0.179385,-0.097828,-0.285395,1.329043,0.053009,-0.947091
0.180841,-0.102517,-0.277805,1.330370,0.053487,-0.951346
0.181878,-0.092111,-0.294203,1.341692,0.056950,-0.964032
0.187536,-0.091939,-0.299614,1.350606,0.025419,-0.960209
0.185270,-0.099859,-0.286064,1.348609,0.054789,-0.964020
0.186761,-0.103208,-0.280926,1.351048,0.055223,-0.968258
0.188258,-0.105463,-0.277809,1.354398,0.055654,-0.972482
0.189769,-0.105564,-0.278696,1.359598,0.056042,-0.976681
0.191276,-0.104334,-0.282017,1.365905,0.056513,-0.980929
0.192802,-0.108044,-0.276177,1.367979,0.056890,-0.985118
0.194327,-0.104638,-0.283540,1.376145,0.057327,-0.989325
0.195856,-0.106551,-0.280979,1.379716,0.057790,-0.993592
